as_of_date,tee_date,course_name,avg_price,occ_percent,market_avg,market_min,market_max
2026-05-05,2026-05-10,ironwood_golf_club,51.98,-0.79,58.38,40.5,87.57
2026-05-05,2026-05-10,stonegate_golf_club_central,61.4,6.06,58.38,40.5,87.57
2026-05-05,2026-05-10,silver_ridge_golf_club_north,66.11,6.06,58.38,40.5,87.57
2026-05-05,2026-05-10,falcon_crest_golf_club,89.67,2.63,58.38,40.5,87.57
2026-05-05,2026-05-11,pinehurst_links_club,40.2,10.62,58.38,44.04,88.67
2026-05-05,2026-05-11,blue_heron_golf_course,40.2,8.34,58.38,44.04,88.67
2026-05-05,2026-05-11,ironwood_golf_club,51.98,-0.79,58.38,44.04,88.67
2026-05-05,2026-05-11,stonegate_golf_club_central,62.58,2.63,58.38,44.04,88.67
2026-05-05,2026-05-11,silver_ridge_golf_club_north,64.94,3.78,58.38,44.04,88.67
2026-05-05,2026-05-11,falcon_crest_golf_club,90.85,9.48,58.38,44.04,88.67
2026-05-06,2026-05-06,blue_heron_golf_course,40.2,104.17,57.24,44.04,85.38
2026-05-06,2026-05-06,pinehurst_links_club,41.38,101.89,57.24,44.04,85.38
2026-05-06,2026-05-06,ironwood_golf_club,51.98,109.87,57.24,44.04,85.38
2026-05-06,2026-05-06,lakewood_golf_club,55.51,109.87,57.24,44.04,85.38
2026-05-06,2026-05-06,silver_ridge_golf_club_north,61.4,107.59,57.24,44.04,85.38
2026-05-06,2026-05-06,stonegate_golf_club_central,62.58,109.87,57.24,44.04,85.38
2026-05-06,2026-05-06,falcon_crest_golf_club,87.32,109.87,57.24,44.04,85.38
2026-05-06,2026-05-07,pinehurst_links_club,39.02,42.56,65.18,42.86,108.45
2026-05-06,2026-05-07,blue_heron_golf_course,40.2,33.44,65.18,42.86,108.45
2026-05-06,2026-05-07,stonegate_golf_club_central,59.05,35.72,65.18,42.86,108.45
2026-05-06,2026-05-07,silver_ridge_golf_club_north,61.4,6.06,65.18,42.86,108.45
2026-05-06,2026-05-07,lakewood_golf_club,64.94,100.75,65.18,42.86,108.45
2026-05-06,2026-05-07,ironwood_golf_club,74.36,7.2,65.18,42.86,108.45
2026-05-06,2026-05-07,falcon_crest_golf_club,112.06,20.89,65.18,42.86,108.45
2026-05-06,2026-05-08,pinehurst_links_club,47.27,56.25,64.05,51.12,101.86
2026-05-06,2026-05-08,blue_heron_golf_course,47.27,7.2,64.05,51.12,101.86
2026-05-06,2026-05-08,stonegate_golf_club_central,57.87,27.73,64.05,51.12,101.86
2026-05-06,2026-05-08,ironwood_golf_club,61.4,23.17,64.05,51.12,101.86
2026-05-06,2026-05-08,silver_ridge_golf_club_north,63.76,-0.79,64.05,51.12,101.86
2026-05-06,2026-05-08,lakewood_golf_club,67.29,84.77,64.05,51.12,101.86
2026-05-06,2026-05-08,falcon_crest_golf_club,104.99,7.2,64.05,51.12,101.86
2026-05-06,2026-05-09,pinehurst_links_club,33.13,-0.79,66.31,36.96,107.35
2026-05-06,2026-05-09,blue_heron_golf_course,46.09,8.34,66.31,36.96,107.35
2026-05-06,2026-05-09,lakewood_golf_club,64.94,88.2,66.31,36.96,107.35
2026-05-06,2026-05-09,silver_ridge_golf_club_north,67.29,-0.79,66.31,36.96,107.35
2026-05-06,2026-05-09,stonegate_golf_club_central,68.47,20.89,66.31,36.96,107.35
2026-05-06,2026-05-09,ironwood_golf_club,69.65,41.42,66.31,36.96,107.35
2026-05-06,2026-05-09,falcon_crest_golf_club,110.88,15.18,66.31,36.96,107.35
